,source_url,article_title,article_text,published_date
131,https://www.sudinfo.be/id692900/article/2023-08-01/athletisme-15-ans-nafy-thiam-rfc-liege-survole-le-concours-de-poids-aux-eyof-jai,"Athlétisme | À 15 ans, Nafy Thiam (RFC Liège) survole le concours de poids aux EYOF: «J’ai été émue d’être félicitée par... Nafi Thiam!»","C’était sa toute première expérience européenne. À seulement 15 ans, Nafy Thiam remporte l’or au Festival Olympique de la Jeunesse qui se déroulait à Maribor en Slovénie.",2023-08-01
132,https://www.sudinfo.be/id692898/article/2023-08-01/athletisme-15-ans-nafy-thiam-wavresurvole-le-concours-de-poids-aux-eyof-jai-ete,"Athlétisme | À 15 ans, Nafy Thiam (Wavre)survole le concours de poids aux EYOF: «J’ai été émue d’être félicitée par... Nafi Thiam!»","C’était sa toute première expérience européenne. À seulement 15 ans, Nafy Thiam remporte l’or au Festival Olympique de la Jeunesse qui se déroulait à Maribor en Slovénie.",2023-08-01
133,https://www.sudinfo.be/shopping/bons-plans/id692897/nike-preparez-vous-pour-une-rentree-sportive-petits-prix-avec-les-promotions-de,Nike : préparez-vous pour une rentrée sportive à petits prix avec les promotions de la marque au swoosh,"C’est bientôt la rentrée. C’est l’occasion de prendre de bonnes résolutions et de redémarrer le sport. Pour vous équiper à petit prix, profitez vite des promotions Nike et économisez jusqu’à -50% sur de nombreux produits. ",2023-08-01
134,https://www.sudinfo.be/id692888/article/2023-08-01/hockey-red-lions-non-retenu-pour-leuro-tom-boon-sinterroge-je-regrette-quon-ne,"Hockey (Red Lions) | Non retenu pour l’Euro, Tom Boon s’interroge: «Je regrette qu’on ne m’ait jamais rien laissé sous-entendre»","Le Bruxellois digère lentement la nouvelle de l’annonce de sa non-sélection pour le prochain Euro. Et s’il ne remet pas en cause les choix de Michel van den Heuvel, c’est bien la manière et le manque de communication qui l’ont irrité.",2023-08-01
135,https://www.sudinfo.be/id692887/article/2023-08-01/coupe-du-hainaut-du-lourd-pour-roselies-ce-mercredi-des-la-reprise-va-pouvoir,"Coupe du Hainaut | Du lourd pour Roselies ce mercredi, dès la reprise: «On va pouvoir constater si l’on doit encore beaucoup travailler... ou pas»","Les Roseliens entameront leur aventure en Coupe du Hainaut au Rœulx, une autre formation de P2, ce mercredi soir.",2023-08-01
136,https://www.sudinfo.be/id692884/article/2023-08-01/je-ne-mattendais-pas-ca-nagui-se-glisse-dans-la-peau-de-la-petite-sirene-dans,«Je ne m’attendais pas à ça»: Nagui se glisse dans la peau de la petite sirène dans une séquence qui fait exploser de rire les internautes (vidéo),Choisissez votre sirène préférée entre Nagui et Mélanie Page… ,2023-08-01
137,https://www.sudinfo.be/id692838/article/2023-08-01/trial-la-malmedienne-maurine-sintzen-selectionnee-pour-le-championnat-du-monde,Trial | La Malmédienne Maurine Sintzen sélectionnée pour le Championnat du monde à Glasgow,"La jeune Malmédienne, Maurine Sintzen, sera à Glasgow pour le Championnat du monde.",2023-08-01
138,https://www.sudinfo.be/shopping/bons-plans/id692877/comment-partir-en-vacances-avec-un-petit-budget,Comment partir en vacances avec un petit budget ?,"Avec cette grisaille permanente, vous rêvez de partir en vacances mais votre budget est plus que serré ? Bonne nouvelle, il est possible de vous offrir un break en maîtrisant vos dépenses. Suivez nos conseils. ",2023-08-01
139,https://www.sudinfo.be/id692871/article/2023-08-01/bubble-planet-experience-une-plongee-tout-en-rondeur,Bubble Planet Experience : une plongée tout en rondeur,"Après avoir marqué l’arrêt dans des villes comme Londres, Milan ou encore Los Angeles, l’expérience Bubble Planet débarque à Bruxelles, sur le site de Tour&Taxis. Cet univers empli de douceur instagramable à souhait vaut le détour.",2023-08-01
140,https://www.sudinfo.be/id692869/article/2023-08-01/il-lutte-contre-les-addictions-et-la-depression-les-equipes-de-la-serie-euphoria,"«Il a lutté contre les addictions et la dépression»: les équipes de la série «Euphoria» rendent hommage à Angus Cloud, décédé à l’âge de 25 ans",Les causes du décès de l’acteur ne sont pas encore connues.,2023-08-01
141,https://www.sudinfo.be/id692863/article/2023-08-01/basket-mons-hainaut-complete-son-equipe-avec-linterieur-americain-eric-adams,Basket: Mons-Hainaut complète son équipe avec l’intérieur américain Eric Adams,"Noyau complet pour Mons-Hainaut, avec l’engagement d’Eric Adams, un intérieur américain de 28 ans.",2023-08-01
142,https://www.sudinfo.be/id692862/article/2023-08-01/mondial-de-rallycross-mettet-la-categorie-reine-sera-absente-le-circuit-va,"Mondial de rallycross à Mettet: la catégorie-reine sera absente, le circuit va dédommager les spectateurs","
                    Privé de la catégorie-reine, le RX1 électrique, le meeting de Mettet se déroulera sur deux jours et non trois. Les spectateurs qui auront acheté leurs tickets en prévente recevront un bon de 20 € à dépenser sur place, ce week-end.
                ",2023-08-01
